pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home_2---leisure_4	3	2	4	3	1	0	1	0	0	0	1	0	0
home_2---remote_home_1	2	2	1	1	1	0	0	1	0	0	0	0	0
home_2---remote_work_1	13	13	7	5	12	4	2	5	3	0	0	2	0
home_2---remote_work_2	9	4	12	4	3	2	1	4	2	0	1	0	1
home_2---remote_work_3	1	0	1	2	0	0	0	0	0	0	0	0	0
home_2---remote_work_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_2---remote_work_5	0	1	2	0	1	0	0	0	0	0	0	0	0
home_2---shop_1	256	138	86	56	53	19	16	14	8	9	7	7	8
home_2---shop_2	107	75	44	30	15	25	6	7	13	2	2	3	3
home_2---shop_3	33	17	13	4	2	1	3	1	0	0	0	0	2
home_2---shop_4	0	0	0	0	0	1	0	0	0	0	0	0	0
home_2---shop_7	1	0	0	0	0	0	0	0	0	0	0	0	0
home_2---work_1	30	25	26	20	11	9	8	11	8	8	5	15	5
home_2---work_2	150	169	148	99	87	63	33	34	16	14	11	7	34
home_2---work_3	6	13	9	12	3	5	1	2	1	2	0	1	0
home_2---work_4	5	1	0	2	1	0	0	0	0	0	0	0	0
home_3---education_1	1	4	1	2	0	0	0	0	0	0	0	1	2
home_3---education_2	3	2	1	0	2	0	0	0	0	0	0	0	1
home_3---education_3	5	2	1	0	0	2	0	0	0	0	0	0	0
home_3---escort_kids_1	10	7	3	4	0	1	1	1	0	0	0	0	0
home_3---escort_kids_2	10	7	2	1	0	1	0	1	0	0	0	0	0
home_3---escort_kids_3	5	2	1	1	0	0	0	1	0	0	0	0	0
home_3---escort_other_1	18	18	8	3	3	2	2	1	0	1	0	0	1
home_3---escort_other_2	10	10	3	1	1	0	0	0	0	0	0	0	1
home_3---escort_other_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_3---escort_other_4	1	1	0	0	0	0	1	0	0	0	0	0	0
home_3---home_1	13	0	0	0	0	0	0	0	0	0	0	0	0
home_3---home_4	2	0	0	0	0	0	0	0	0	0	0	0	0
home_3---leisure_1	164	99	49	29	25	21	14	12	9	2	2	1	3
home_3---leisure_2	74	42	25	17	8	10	3	5	1	1	1	2	2
home_3---leisure_3	23	12	8	4	0	3	2	3	0	2	1	0	4
home_3---leisure_4	2	1	1	0	0	0	0	0	0	0	0	0	0
home_3---remote_work_1	5	3	0	0	1	0	0	0	0	0	0	0	0
home_3---remote_work_2	1	0	1	0	0	0	0	0	0	0	0	0	0
home_3---remote_work_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_3---shop_1	41	37	15	6	7	5	4	1	2	2	1	0	2
home_3---shop_2	10	8	2	3	1	0	0	0	2	0	0	0	1
home_3---shop_3	15	8	1	1	1	1	0	0	0	0	0	0	0
home_3---shop_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_3---work_1	2	1	2	1	4	4	0	0	2	0	1	0	2
home_3---work_2	4	9	8	9	3	5	1	1	3	1	2	0	2
home_3---work_3	3	4	3	10	8	1	2	4	0	0	0	0	0
home_3---work_4	0	0	1	0	1	0	0	0	0	0	0	0	0
home_4---education_1	0	1	0	0	0	0	1	0	0	0	1	0	0
home_4---escort_kids_1	0	1	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_2	2	0	1	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_kids_4	4	0	0	0	1	0	0	0	0	0	0	0	0
home_4---escort_other_1	0	0	1	1	0	0	0	0	0	0	0	0	0
home_4---escort_other_2	6	0	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_other_3	4	1	0	0	0	0	0	0	0	0	0	0	0
home_4---escort_other_4	0	0	0	1	0	0	0	0	0	0	0	0	0
home_4---leisure_1	11	6	2	3	1	0	3	1	0	0	0	1	0
home_4---leisure_2	12	6	2	5	0	1	0	0	1	0	0	0	2
home_4---leisure_3	6	4	2	1	1	2	0	0	0	0	0	0	0
home_4---leisure_4	5	0	0	1	1	0	1	0	0	0	0	0	0
home_4---leisure_5	0	0	0	0	1	0	0	0	0	0	0	0	0
home_4---remote_work_2	2	0	0	0	0	0	0	0	0	0	0	0	0
home_4---shop_1	0	0	0	1	0	0	0	0	0	0	0	0	0
home_4---shop_2	2	1	1	0	0	1	1	0	0	0	0	0	0
home_4---shop_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_4---work_2	0	0	0	1	0	0	0	0	0	0	0	0	0
home_4---work_3	0	2	2	1	1	0	0	0	0	0	0	0	0
home_4---work_4	0	1	1	3	2	3	1	0	1	1	1	0	0
home_5---escort_kids_3	1	0	0	0	0	0	0	0	0	0	0	0	0
home_5---escort_other_4	1	0	0	0	0	0	0	0	0	0	0	0	0
home_5---leisure_1	1	0	1	0	0	0	0	0	0	0	0	0	0
home_5---leisure_2	0	1	0	0	0	0	0	0	0	0	0	0	0
home_5---leisure_4	1	0	0	0	0	0	1	0	0	0	0	0	0
home_5---leisure_5	0	1	0	1	0	0	0	0	0	0	0	0	0
home_5---shop_2	0	0	0	0	1	0	0	0	0	0	0	0	0
home_5---work_3	0	0	0	0	1	0	0	0	0	0	0	0	0
leisure_1---education_1	5	8	2	1	1	1	0	0	1	0	0	0	1
leisure_1---education_2	53	25	12	9	8	3	1	3	1	2	2	0	0
leisure_1---education_3	1	1	0	0	1	0	0	0	0	0	0	0	0
leisure_1---escort_kids_1	4	5	3	0	0	0	1	1	0	0	0	0	0
leisure_1---escort_kids_2	2	0	0	0	1	0	0	0	0	0	0	0	1
leisure_1---escort_kids_3	0	1	1	0	0	0	0	0	0	0	0	0	0
leisure_1---escort_kids_4	0	0	0	1	0	0	0	0	0	0	0	0	0
leisure_1---escort_other_1	11	11	8	4	3	5	2	3	1	0	0	0	1
leisure_1---escort_other_2	9	11	6	4	1	1	0	1	0	0	0	1	1
leisure_1---escort_other_3	0	1	0	0	0	0	0	0	0	0	0	0	0
leisure_1---home_1	771	661	392	241	183	140	103	107	80	51	47	62	76
leisure_1---home_2	231	123	71	52	29	23	18	12	12	6	6	3	5
leisure_1---home_3	62	43	19	15	4	2	11	4	4	3	3	2	3
leisure_1---home_4	8	5	1	0	1	1	0	0	0	0	0	0	0
leisure_1---home_5	2	0	0	1	0	0	0	0	0	0	0	0	0
leisure_1---leisure_2	124	96	48	49	35	24	26	17	10	10	7	9	7
leisure_1---remote_home_1	1	0	1	0	0	0	0	0	0	0	0	0	0
leisure_1---remote_work_1	6	2	1	5	5	2	3	3	1	2	2	0	2
leisure_1---remote_work_2	15	5	5	3	4	1	0	0	2	0	0	0	0
leisure_1---remote_work_3	0	0	1	1	1	1	0	0	0	0	0	0	0
leisure_1---shop_1	177	125	54	34	23	20	12	12	5	3	5	5	3
leisure_1---shop_2	33	29	19	9	3	6	5	5	3	1	1	1	0
leisure_1---shop_3	7	7	4	1	0	0	0	1	0	0	0	0	0
leisure_1---shop_4	0	0	0	1	0	1	0	0	0	0	1	0	0
leisure_1---shop_5	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_1---work_1	16	20	14	9	5	10	6	3	2	4	2	3	2
leisure_1---work_2	324	133	46	37	17	15	13	6	7	4	1	1	5
leisure_1---work_3	14	6	1	2	1	1	0	0	0	0	0	0	0
leisure_1---work_4	0	0	0	1	1	0	1	0	0	0	0	0	0
leisure_2---education_1	1	1	0	0	1	0	0	0	1	0	0	0	0
leisure_2---education_2	2	0	0	0	0	0	0	1	0	0	0	0	0
leisure_2---escort_kids_1	1	1	1	1	1	1	0	0	0	0	1	0	0
leisure_2---escort_kids_2	0	0	0	0	1	0	0	0	0	0	0	0	0
leisure_2---escort_kids_3	0	1	1	0	0	0	0	0	0	0	0	0	0
leisure_2---escort_kids_4	0	0	1	0	0	0	0	0	0	0	0	0	0
leisure_2---escort_other_1	6	1	1	0	1	2	1	1	1	1	0	0	0
leisure_2---escort_other_2	1	3	3	0	2	0	0	0	1	0	0	0	1
leisure_2---escort_other_3	1	1	0	0	1	0	0	0	0	0	0	0	0
leisure_2---home_1	310	204	137	96	55	44	36	45	18	16	22	27	22
leisure_2---home_2	14	20	8	4	8	10	8	3	2	1	0	0	2
leisure_2---home_3	28	15	2	4	4	2	4	4	0	0	1	1	0
leisure_2---home_4	10	0	3	0	0	0	1	0	0	0	0	0	0
leisure_2---home_5	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_2---leisure_3	60	22	14	11	8	8	9	4	3	2	9	3	1
leisure_2---remote_home_1	1	0	0	1	0	0	1	0	0	0	1	0	0
leisure_2---remote_work_1	1	1	0	1	0	0	0	1	0	0	0	0	1
leisure_2---remote_work_2	1	2	0	0	0	1	0	1	1	0	0	0	0
leisure_2---remote_work_3	1	1	0	1	0	0	0	0	0	1	0	0	0
leisure_2---shop_1	25	16	5	5	3	5	4	2	1	3	2	1	3
leisure_2---shop_2	8	6	7	0	2	0	2	0	0	0	0	0	0
leisure_2---shop_3	6	2	0	0	1	0	0	2	0	1	1	1	0
leisure_2---shop_4	1	1	2	0	0	0	0	0	0	0	0	0	0
leisure_2---shop_5	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_2---work_1	1	0	1	0	0	0	0	1	0	0	0	0	0
leisure_2---work_2	11	9	3	1	0	0	0	1	0	0	0	0	1
leisure_2---work_3	8	5	1	0	0	0	0	1	0	0	0	0	0
leisure_2---work_4	2	0	0	0	0	0	0	0	0	0	0	0	0
leisure_3---escort_kids_1	0	1	2	0	0	0	1	0	1	0	0	0	0
leisure_3---escort_other_1	3	0	2	0	1	1	1	0	0	0	0	0	0
leisure_3---escort_other_2	0	0	1	0	0	0	0	0	0	0	0	0	0
leisure_3---escort_other_4	0	0	0	0	1	0	0	0	0	0	0	0	0
leisure_3---home_1	95	51	27	28	9	15	10	6	6	3	4	7	4
leisure_3---home_2	1	0	2	1	0	2	0	0	0	0	1	0	0
leisure_3---home_3	3	2	1	0	0	0	0	0	0	0	0	0	0
leisure_3---home_4	3	2	0	2	0	0	0	0	0	1	0	0	1
leisure_3---home_5	0	1	0	0	0	1	0	0	0	0	0	0	0
leisure_3---leisure_4	14	4	0	1	5	1	1	0	0	0	0	0	0
leisure_3---remote_home_1	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_3---shop_1	5	7	1	0	0	0	0	0	0	0	0	0	1
leisure_3---shop_2	2	0	0	1	0	0	0	0	0	0	0	0	0
leisure_3---shop_3	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_3---shop_5	0	2	0	0	0	0	0	0	0	0	0	0	0
leisure_3---work_1	0	2	1	2	1	1	0	0	0	0	0	0	0
leisure_4---escort_other_1	1	1	0	0	0	0	0	0	0	0	0	0	0
leisure_4---home_1	14	7	10	5	3	2	0	1	1	1	2	1	1
leisure_4---home_4	1	0	0	0	0	0	0	0	0	0	0	0	0
leisure_4---home_5	0	0	0	1	0	0	1	0	0	0	0	0	0
leisure_4---leisure_5	0	2	0	0	0	0	0	0	0	0	0	0	0
leisure_4---shop_1	1	0	0	0	0	1	1	0	1	0	0	0	0
leisure_5---home_1	1	0	2	0	1	0	0	0	0	0	1	0	0
remote_home_1---education_2	4	2	3	0	0	0	0	0	0	0	0	0	0
remote_home_1---education_3	0	0	0	0	1	0	0	0	0	0	0	0	0
remote_home_1---home_1	4	5	4	2	4	1	3	0	0	0	0	0	0
remote_home_1---home_2	0	1	1	0	0	0	0	1	0	0	0	0	0
remote_home_1---home_3	1	0	0	0	0	0	0	0	0	0	0	0	0
remote_home_1---leisure_1	1	0	0	0	1	0	1	1	0	0	1	0	0
remote_home_1---leisure_2	1	0	0	0	0	0	0	0	0	0	0	0	0
remote_home_1---leisure_3	0	1	0	0	0	0	0	0	0	0	0	0	0
remote_home_1---remote_work_2	0	0	0	0	0	1	0	0	0	0	0	0	0
remote_home_1---shop_1	0	0	0	0	0	0	0	0	0	0	0	1	0
remote_home_2---home_2	2	1	0	0	0	0	0	0	0	0	0	0	0
